<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130425,000000,255.6256800,256.5637200,254.4225500,255.9264700,0
20130426,000000,254.7335300,256.4872500,254.5347000,255.9978400,0
20130429,000000,256.4464700,257.8433300,256.4464700,257.1041100,0
20130430,000000,255.8703900,256.0641100,253.8617600,255.0903900,0
20130501,000000,253.5711700,254.6468600,252.1437200,252.3578400,0
20130502,000000,253.4335300,255.4625500,253.4335300,255.0343100,0
20130503,000000,256.9460700,257.7821500,256.0998000,256.5433300,0
20130506,000000,256.4464700,256.4668600,255.0700000,255.1617600,0
20130507,000000,255.3198000,256.0845000,254.9017600,255.7633300,0
20130508,000000,255.7072500,256.8645000,255.1362700,256.2476400,0
20130509,000000,256.1507800,257.5782300,255.6511700,256.5331300,0
20130510,000000,256.6554800,259.6429300,256.6554800,259.6429300,0
20130513,000000,259.3727400,261.7076400,259.0209700,261.6464600,0
20130514,000000,261.6923400,264.4401800,261.6668500,264.2770500,0
20130515,000000,264.6186200,266.5864600,263.7621500,265.1284200,0
20130516,000000,264.5064600,264.5064600,262.0696000,262.2582300,0
20130517,000000,263.1045000,263.7723400,261.6974400,263.6041100,0
20130520,000000,263.3135200,263.9813600,261.5037200,261.7994000,0
20130521,000000,262.3245000,264.8174400,261.9421500,264.4554800,0
20130522,000000,265.3629300,270.3080200,263.0943000,264.1852800,0
20130523,000000,263.1350900,265.0213600,261.7280300,264.1750900,0
20130524,000000,263.3492000,263.8641100,261.3660700,263.5429300,0
20130528,000000,265.2252800,268.5543000,265.2201800,266.2194000,0
20130529,000000,265.2762600,265.2762600,260.9735200,262.2378300,0
20130530,000000,262.3856800,265.2813600,262.3856800,264.3433200,0
20130531,000000,263.5429300,264.4299900,258.6998000,258.6998000,0
20130603,000000,259.6174400,259.9641100,257.4099900,259.9641100,0
20130604,000000,259.3574400,261.1825400,256.8135200,258.0013700,0
20130605,000000,257.2978400,259.3523500,253.8260800,254.3001900,0
20130606,000000,254.1421500,257.9962700,253.1735300,257.9962700,0
20130607,000000,259.1535200,261.6872500,259.1535200,260.7645000,0
20130610,000000,261.1825400,261.7127400,260.1119500,261.1876400,0
20130611,000000,259.6174400,261.6872500,258.1135200,260.0456800,0
20130612,000000,261.0652900,262.3754800,257.4201900,257.4252900,0
20130613,000000,257.3386200,261.3864600,255.3707800,261.1213600,0
20130614,000000,260.8613600,262.0441100,259.9947000,260.5299900,0
20130617,000000,261.7586200,262.9362600,259.7550900,260.9888100,0
20130618,000000,261.3303800,263.2727400,260.9990100,263.1401900,0
20130619,000000,263.0637200,263.2778300,258.7915600,258.8833300,0
20130620,000000,257.3080300,257.3080300,251.4809800,252.2711700,0
20130621,000000,253.4029400,256.0488200,252.3323500,254.4174500,0
20130624,000000,253.0817600,254.6774500,250.4103900,252.6637200,0
20130625,000000,253.8260800,254.6315600,252.3017600,253.8056800,0
20130626,000000,254.9731300,258.5111700,254.9731300,257.4405800,0
20130627,000000,258.8425400,259.8876400,258.1339200,258.4245000,0
20130628,000000,258.9649000,259.2045000,256.3088200,256.3241100,0
20130701,000000,257.7107800,260.8766600,257.7107800,258.2409700,0
20130702,000000,257.8688200,259.0515600,256.8288200,257.5680300,0
20130703,000000,256.7064600,257.8382300,255.3147000,257.0480300,0
20130705,000000,258.4550900,260.5605800,258.0319500,260.5248900,0
20130708,000000,261.4731300,262.4468500,261.2539100,261.9064600,0
20130709,000000,262.8801900,263.2880300,261.5394000,262.6660700,0
20130710,000000,262.8190100,265.1335200,262.8190100,264.5013600,0
20130711,000000,266.0817500,268.0037100,266.0766500,267.7539100,0
20130712,000000,267.8711600,269.7931200,267.1982200,269.7931200,0
20130715,000000,269.7829300,269.9868500,268.6052800,269.7115500,0
20130716,000000,270.1397900,270.4456700,267.6060700,268.2688100,0
20130717,000000,269.0437100,270.1397900,268.5033200,268.7888100,0
20130718,000000,268.6970400,270.4762600,268.6970400,269.5790000,0
20130719,000000,269.0080200,273.1629200,268.8601800,273.1119400,0
20130722,000000,273.3872400,274.9268400,272.5001800,274.3201800,0
20130723,000000,274.4374300,274.4833100,272.8723400,273.3668400,0
20130724,000000,274.1417500,274.4425300,272.2401800,273.0048800,0
20130725,000000,272.5256700,274.5088000,271.1899800,274.4884100,0
20130726,000000,274.0652700,275.9413500,272.4644900,275.8801800,0
20130729,000000,275.3601800,276.3593900,274.3660600,275.0492000,0
20130730,000000,275.6711600,276.3695900,274.1621400,275.1919400,0
20130731,000000,276.0025300,277.5472300,275.3448800,275.5029200,0
20130801,000000,276.3899800,277.7103700,276.3899800,277.3841000,0
20130802,000000,277.0986100,277.4503700,276.3339000,277.4503700,0
20130805,000000,276.8844900,277.9142900,276.5684100,277.0527200,0
20130806,000000,276.5990000,276.7927200,274.7586100,275.5488000,0
20130807,000000,275.1715500,276.1452700,273.9582200,275.5692000,0
20130808,000000,276.3390000,276.5837100,274.7790000,275.7986100,0
20130809,000000,275.1613500,276.5378200,273.9429200,274.9166500,0
20130812,000000,274.0244900,274.4272400,273.0201800,273.8358600,0
20130813,000000,273.9429200,275.1562500,272.3982200,274.4833100,0
20130814,000000,274.4068400,275.2633100,272.4135100,272.4593900,0
20130815,000000,271.0880200,271.0880200,267.7182200,267.7997900,0
20130816,000000,267.2288100,267.6621400,266.1735200,266.3519500,0
